name,full_name,born
Chris Elmore,Christopher Philip James,1983-12-23 00:00:00
Chris Finlayson,,1956 (age 65–66)
Chris Friedel,,1979-12-08 00:00:00
Chris Fearne,,1963-03-12 00:00:00
Chris Garrett,,1973-12-26 00:00:00
Chris Evans,Christopher Robert Evans,1981-06-13 00:00:00
Chris Gebhard,,1974/1975 (age 47–48)
Chris Gildon,Christopher Don Gildon,1971/1972 (age 49–50)
Chris Dodd,Christopher John Dodd,1944-05-27 00:00:00
Chris Harker,,March 1954
Chris Giunchigliani,,1954-11-27 00:00:00
Chris Green,,1973-08-12 00:00:00
Chris Gorsek,,1958-01-28 00:00:00
Chris Gibson,Christopher Patrick Gibson,1964-05-13 00:00:00
Chris Haviland,,1952-02-27 00:00:00
Chris Hart,,1968-08-11 00:00:00
Chris Harris,,1951-06-28 00:00:00
Chris Hayes,Christopher Patrick Hayes,1955-07-17 00:00:00
Chris Grayling,Christopher Stephen Grayling,1962-04-01 00:00:00
Chris Heaton-Harris,,1967-11-28 00:00:00
Jan Christiaan Heunis,,1927-04-20 00:00:00
Chris Head,Christopher T. Head,1963-01-13 00:00:00
Chris Hoy,,
Chris Hipkins,,1978-09-05 00:00:00
Chris Holbert,,1961-02-06 00:00:00
Chris Hurford,Christopher John Hurford-Jones,1931-07-30 00:00:00
Chris Kapenga,Christopher Lee Kapenga,
Chris Huhne,Christopher Murray Paul-Huhne,1954-07-02 00:00:00
Chris Jacobs,Christopher Louis Jacobs,1966-11-28 00:00:00
Chris Kolb,,1958 (age 63–64)
Chris Laidlaw,,1943-11-16 00:00:00
Chris Kolker,,
Chris Krebs,,1977-01-30 00:00:00
Chris Lauzen,,1952-12-30 00:00:00
Chris Kourakis,,
Chris Larson,,1980-11-12 00:00:00
Chris Lemmon,Christopher Boyd Lemmon,1954-06-22 00:00:00
Chris Leslie,Christopher Michael Leslie,1972-06-28 00:00:00
Chris Lee,Christopher John Lee,1964-04-01 00:00:00
Chris Loder,,1981-09-05 00:00:00
Chris Masingill,,1973 (age 48–49)
Christian Matheson,,1968-01-02 00:00:00
Christian Matheson,,1968-01-02 00:00:00
Chris Magnus,,1960-10-26 00:00:00
Chris Lu,,1966-06-12 00:00:00
Chris Mole,,1958-03-16 00:00:00
Chris Mullin,,1947-12-12 00:00:00
Chris Matthews,Christopher John Matthews,1945-12-17 00:00:00
Chris McDaniel,Christopher Brian McDaniel,1971-06-28 00:00:00
Chris Nelson,,1964-08-18 00:00:00
Chris Norby,,1949-12-03 00:00:00
Christopher Perone,,", "
Chris Peace,Christopher Kilian Peace,1976-11-16 00:00:00
The Lord Patten of Barnes,Christopher Francis Patten,1944-05-12 00:00:00
Chris Puplick,Christopher John Guelph Puplick,1948-05-13 00:00:00
Chris Philp,,1976-07-06 00:00:00
Chris Salmon,,
Chris Rabb,,1970-02-21 00:00:00
Christopher Scott Runion,,1958 (age 63–64)
Chris Pond,,1952-09-25 00:00:00
Christopher B. Saxman,,1965-10-18 00:00:00
Chris Ruane,,1958-07-18 00:00:00
Christopher R. Wogan,,1950-02-15 00:00:00
Chris Pratt,Christopher Michael Pratt,1979-06-21 00:00:00
Chris Skidmore,,1981-05-17 00:00:00
Chris Shays,Christopher Hunter Shays,1945-10-18 00:00:00
The Lord Smith of Finsbury,,1951-07-24 00:00:00
Chris Stolle,Christopher Patrick Stolle,1958-04-01 00:00:00
Chris Stephens,Christopher Charles Stephens,1973-03-20 00:00:00
Chris Smith,Christopher Henry Smith,1953-03-04 00:00:00
Chris Sprowls,,1984-01-14 00:00:00
Chris Telfer,,
Chris Swedzinski,,1978-05-10 00:00:00
Chris Stewart,Christopher Douglas Stewart,1960-07-15 00:00:00
Chris Thomason,Steven Christopher Thomason,1972-12-30 00:00:00
Christian Hesse,Christian Tsui Hesse,1932-08-29 00:00:00
Chris Tuck,,1966-07-09 00:00:00
Chris Tremain,Christopher James Tremain,1966
Chris Turner,,1972-10-10 00:00:00
Chris Wakim,Christopher Wakim,1957-12-19 00:00:00
Chris White,,1967-04-28 00:00:00
Chris Vance,,1962-05-01 00:00:00
Chris van Veen,Christiaan van Veen,1922-12-19 00:00:00
Chris Williamson,Christopher Williamson,1956-09-16 00:00:00
Chris Watson,Johan Cristian Tanck,9 April 1867
Chris d'Entremont,,1969-10-31 00:00:00
Chrisann Brennan,,1954-09-29 00:00:00
Chris van der Klaauw,Christoph Albert van der Klaauw,1924-08-13 00:00:00
Chris Widener,,1963-08-22 00:00:00
Christel Truglia,Christel Heidemann,1936-02-16 00:00:00
Christelle Morançais,,1975-01-28 00:00:00
Christi Craddick,Christi Leigh Craddick,1970-07-01 00:00:00
Christiaan Rebergen,A.C.C. Rebergen,1970-05-29 00:00:00
Christi Jacobsen,,1975/1976 (age 46–47)
Christiaan Rudolf de Wet,,7 October 1854
J. Christian Adams,John Christian Adams,1968
Christian A. Herter Jr.,Christian Archibald Herter Jr.,1919-01-29 00:00:00
Christian August Vulpius,,1762-01-23 00:00:00
Christian Allard,,1964-03-31 00:00:00
Christian Cecil Kohlsaat,,1844-01-08 00:00:00
Christian Bonnet,,14 June 1921
The Countess of Devonshire,,1595
A. Christian Compton,Asbury Christian Compton,1929-10-24 00:00:00
Christian Eckert,,1956-02-08 00:00:00
Christian Henry Kahl,,
Christian Herter,Christian Archibald Herter,1895-03-28 00:00:00
Christian L. Poorman,,1825-10-28 00:00:00
Christian Jacob,,1959-12-04 00:00:00
Christian Madsen,,
Christian Noyer,,1950-10-06 00:00:00
Christian Ouellet,,1934-04-22 00:00:00
Christian Onoh,,27 April 1927
Christian Ramsay,,1786-02-28 00:00:00
Christian Paul,,1960-03-23 00:00:00
Christian Porter,Charles Christian Porter,1970-07-11 00:00:00
Christiaan Huygens,,1629-04-14 00:00:00
Christian Sautter,,1940-04-09 00:00:00
Christian Schwarz-Schilling,,1930-11-19 00:00:00
Christian Solorio,,
Christian Syse,,1962-09-30 00:00:00
Christian Swartz,,"June 15, 1846"
Christian Vanneste,,1947-07-14 00:00:00
Christian Wakeford,,1984-11-09 00:00:00
Christian Ude,,1947-10-26 00:00:00
Christian Vadim,Christian Igor Christophe Plemiannikov,1963-06-18 00:00:00
Christian Poncelet,,1928-03-24 00:00:00
,,1882-06-28 00:00:00
Christian Wulff,,1959-06-19 00:00:00
Christiane Vulpius,Johanna Christiana Sophie Vulpius,1765-06-01 00:00:00
Christiane Herzog,Christiane Krauss,1936-10-26 00:00:00
Christiane Taubira,Christiane Marie Taubira,1952-02-02 00:00:00
Christie Hefner,,1952-11-08 00:00:00
Christiane Kubrick,Christiane Susanne Harlan,1932-05-10 00:00:00
Christie Benet,,1879-12-26 00:00:00
Christie Vilsack,Ann Christine Bell,1950-07-09 00:00:00
Christin Baker,,
Christina A. Snyder,,1947-05-27 00:00:00
Christina Liew Chin Jin,,1951 (age 70–71)
Christina Onassis,,1950-12-11 00:00:00
Christina Kirk Henderson,,15 August 1861
Christina Rau,Christina Delius,1956-10-30 00:00:00
Christina Morales,,1968-04-13 00:00:00
Christina Rees,,1954-02-21 00:00:00
Christina Olague,,"June 11, 1961"
Christina McCall,,1935-01-29 00:00:00
Christina Armijo,Maria Christina Armijo,1951-01-17 00:00:00
Christine Elder,,", "
Christine Afrifa,Christine Sussana Addaquay, 
Christina Romer,Christina Duckworth,1958-12-25 00:00:00
Chris Branstad,Christine Ann Johnson,", U.S."
Christine Defraigne,,1962-04-29 00:00:00
Christine Boutin,Christine Martin,1944-02-06 00:00:00
Christine Cohen,,1976-01-25 00:00:00
The Baroness Crawley,,1950-01-09 00:00:00
Christine Chandler,Christine Gray,1958-06-21 00:00:00
Christine Albanel,,1955-06-25 00:00:00
Christine French,,
Christine L. Donohue,,1952-12-24 00:00:00
Christine Goodwin,,
Christine Fox,,1955-05-26 00:00:00
Christine Elliott,Christine Janice Elliott,1955-04-13 00:00:00
Christine Grady,,1951/1952 (age 69–70) 
Christine Hamilton,Mary Christine Holman,1949-11-10 00:00:00
Christine Jardine,Christine Anne Jardine,1960-11-24 00:00:00
Christine Grahame,Christine Grahame,1944-09-09 00:00:00
Christine Kehoe,,1950-10-03 00:00:00
Christine Kaufmann,,1951-12-25 00:00:00
Christine Toretti,,
Christine Kaufmann,,1951-12-25 00:00:00
The Baroness Humphreys,,
Christine M. Durham,,1945-08-03 00:00:00
Christine Lagarde,Christine Madeleine Odette Lallouette,1956-01-01 00:00:00
Christine Lieberknecht,,1958-05-07 00:00:00
Christine Marsh,,
Christine Maxwell,,1950-08-16 00:00:00
Christine McCafferty,,1945-10-14 00:00:00
Christine Morse,,1973 (age 48–49)
Christine Ockrent,,1944-04-24 00:00:00
Christine Odell Cook Miller,,1944-08-26 00:00:00
Christine Rosati Randall,,1969-06-22 00:00:00
Christine Pelosi,Christine Paule Pelosi,1966-05-05 00:00:00
Christine Rolfes,Christine Margaret Nasser,1967-03-25 00:00:00
Christine R. Savage,,1931-08-05 00:00:00
Christine Russell,,1945-03-25 00:00:00
Christine Scanlan,,
Christine Scott,,1946-03-17 00:00:00
Christine Quinn,Christine Callaghan Quinn,1966-07-25 00:00:00
Christine Stewart,,1941-01-03 00:00:00
Christine Tartaglione,,1960-09-21 00:00:00
Christoph Blocher,,1940-10-11 00:00:00
Christophe Castaner,,1966-01-03 00:00:00
Christine Wormuth,,1969-04-19 00:00:00
Christopher Augustus Bergen,,"August 2, 1841"
Christophe Sirugue,,1966-08-14 00:00:00
Christophe Leclercq,,1967-02-24 00:00:00
Christopher A. Wray,Christopher Asher Wray,1966-12-17 00:00:00
Christopher Allan Boyko,Christopher Allan Boyko,1954-10-10 00:00:00
Christopher A. Iannella,,1913-05-29 00:00:00
The Viscount Addison,,19 June 1869
The Viscount Addison,,19 June 1869
Christopher B. Howard,,1969-02-12 00:00:00
The Viscount Addison,,8 December 1904
Christopher Ashley Ford,,1967 (age 54–55)
Christopher B. Shank,,1972-06-30 00:00:00
Christopher Beazley,,1952-09-05 00:00:00
Christopher B. Quinn,,1967-10-11 00:00:00
Christopher Blount,,1555/1556
Christopher Columbus Bowen,,1832-01-05 00:00:00
Chris Burnham,Christopher Bancroft Burnham,
Christopher Buckley,Christopher Taylor Buckley,1952-09-28 00:00:00
Christopher Christian Cox,,"August 28, 1816"
Christopher Brocklebank-Fowler,,1934-01-13 00:00:00
Christopher C. Conner,,1957-10-25 00:00:00
Christopher C. Upson,Christopher Columbus Upson,1829-10-17 00:00:00
Christopher Caldwell,,
Christopher C. Miller,Christopher Charles Miller,1965-10-15 00:00:00
Christopher Campbell,,
The Viscount Cobham,,1947-10-23 00:00:00
Sir Christopher Chataway,,1931-01-31 00:00:00
Christopher Comstock,,1635-10-07 00:00:00
,,30 December 1949
Christopher Chope,,1947-05-19 00:00:00
Christopher Chandler,Christopher Ray Chandler,1951-01-20 00:00:00
Christopher Cox,Charles Christopher Cox,1952-10-16 00:00:00
Christopher Dingell,Christopher Dennis Dingell,1957-02-23 00:00:00
Christopher Del Sesto,,1907-03-10 00:00:00
Christopher William Dell,,1956
The Earl of Winchilsea,,1936-11-17 00:00:00
Christopher Deschene,,1970 (age 51–52)
Chris Edley,Christopher Fairfield Edley Jr.,1953-01-13 00:00:00
Christopher E. Goldthwait,,1949 (age 72–73)
Christopher Dietzen,,1947-03-08 00:00:00
Christopher John Elder,,1947
Christopher L. Eisgruber,Christopher Ludwig Eisgruber,1961-09-24 00:00:00
Christopher Fitzgerald Egan,,
Christopher Ellery,,1768-11-01 00:00:00
Christopher F. Droney,,1954-06-22 00:00:00
Christopher Fitzgerald Egan,,
The Earl of Winchilsea,,1911-08-02 00:00:00
Christopher Furness,,1912-05-17 00:00:00
Christopher Fraser,,1962-10-25 00:00:00
Chris Finlayson,,1956 (age 65–66)
"Christopher Furness, 1st Baron Furness",,23 April 1852
Christopher Gavigan,,1974-04-19 00:00:00
Christopher Gill,Christopher John Freddy Gill,1936-10-28 00:00:00
Christopher Gadsden,,1724-02-16 00:00:00
Christopher Grant Champlin,,1768-04-12 00:00:00
The Lord Geidt,,1961-08-17 00:00:00
Christopher Greenup,,c. 1750
Christopher G. Kennedy,Christopher George Kennedy,1963-07-04 00:00:00
Christopher H. Phillips,,"December 6, 1920"
Christopher Gore,,1758-09-21 00:00:00
Chris Heaton-Harris,,1967-11-28 00:00:00
Christopher Schroeder,Christopher Henry Schroeder,1948 (age 73–74)
Christopher Harrison,,c. 1780
Christopher Hawkins,,1937-11-26 00:00:00
Christopher Holland-Martin,,1910-11-16 00:00:00
Christopher Hitchens,Christopher Eric Hitchens,1949-04-13 00:00:00
Christopher Hurst,Christopher Arthur Hurst,1954-10-12 00:00:00
Christopher Murray,,
Christopher Hughes,,1786-02-11 00:00:00
Christopher J. Marut,Christopher John Marut,
Christopher J. England,Christopher John England,1976-08-19 00:00:00
Christopher John Farley,,1966-07-28 00:00:00
Christopher Johnson,Christopher Wold Johnson,1959-08-07 00:00:00
Chris Jacobs,Christopher Louis Jacobs,1966-11-28 00:00:00
Christopher K. McNally,,1960-08-25 00:00:00
Christopher Landau,Christopher Thomas Landau,1963-11-13 00:00:00
Christopher Masterson,Christopher Kennedy Masterson,1980-01-22 00:00:00
Christopher Lawford,Christopher Kennedy Lawford,1955-03-29 00:00:00
Christopher Lasch,Robert Christopher Lasch,1932-06-01 00:00:00
Christopher L. Eisgruber,Christopher Ludwig Eisgruber,1961-09-24 00:00:00
Christopher Luxon,,1970-07-19 00:00:00
Christopher Mayer,George Charles Mayer III,1954-02-21 00:00:00
Christopher Paget Mayhew,Christopher Paget Mayhew,1915-06-12 00:00:00
Sir Christopher Meyer,,1944-02-22 00:00:00
Christopher Nixon Cox,,1979-03-14 00:00:00
,,1919-02-14 00:00:00
,,1919-02-14 00:00:00
Christopher Norwood,,1932-12-17 00:00:00
Christopher Nixon Cox,,1979-03-14 00:00:00
Lord Justice Nugee,Christopher George Nugee,1959-01-23 00:00:00
Christopher Henzel,,
Christopher Oluwole Rotimi,,1935-02-20 00:00:00
Christopher Owen Ward,,1954-10-11 00:00:00
Christopher Pincher,Christopher John Pincher,1969-09-24 00:00:00
Chris Porrino,,1966/1967 (age 54–55)
Christopher R. Kavanaugh,Christopher Robert Kavanaugh,1980 (age 41–42)
The Lord Kingsland,,1942-01-01 00:00:00
Christopher Cooper,Christopher Reid Cooper,1966-09-02 00:00:00
Christopher Rankin,,1788
Christopher Pyne,Christopher Maurice Pyne,1967-08-13 00:00:00
Christopher Robinson,,1806-05-15 00:00:00
Christopher Hill,,1952-08-10 00:00:00
Christopher Raymond Perry,,1761-12-04 00:00:00
Christopher C. Rants,,1967-09-16 00:00:00
Christopher Sarofim,Christopher Binyon Sarofim,1963
Christopher Nickell,,1958/1959 (age 62–63)
The Lord Soames,Arthur Christopher John Soames,1920-10-12 00:00:00
The Lord Soames,Arthur Christopher John Soames,1920-10-12 00:00:00
Christopher Thomas,,"March 24, 1818"
The Lord Thomson,,1875-04-13 00:00:00
Christopher Tolkien,,1924-11-21 00:00:00
The Lord Tugendhat,Christopher Samuel Tugendhat,1937-02-23 00:00:00
Christopher Van Hollen,Christopher Van Hollen,"September 23, 1922"
The Lord Tugendhat,Christopher Samuel Tugendhat,1937-02-23 00:00:00
Christopher William Dell,,1956
Christopher W. S. Ross,,1943-03-03 00:00:00
Sir Christopher Welby-Everard,,1909-08-09 00:00:00
Christopher R. Wogan,,1950-02-15 00:00:00
Christopher Wren,,30 October 1632 [
Christos Papoutsis ,,1953-04-11 00:00:00
Christos Stylianides,,1958-06-26 00:00:00
Christy Burke,,
Christos Sartzetakis,,1929-04-06 00:00:00
Christy C. Wiegand,Christy Criswell Wiegand,1975 (age 46–47)
Christine Zito,,", U.S."
Christy Clark,Christina Joan Clark,1965-10-29 00:00:00
Chua Soon Bui,,1955-02-01 00:00:00
Chrystian Colombo,,1952 (age 69–70)
Chrystia Freeland,Christina Alexandra Freeland,1968-08-02 00:00:00
Chub Feeney,Charles Stoneham Feeney,1921-08-31 00:00:00
Chuck Burley,,1956-01-10 00:00:00
Chuck Berry,,1950-07-01 00:00:00
Chuck Clemons,Charles Wesley Clemons,1957-06-21 00:00:00
Chuck Calvert,,
Chuck Curran,,1939-06-01 00:00:00
Chuck Bennett,,1948 (age 73–74)
Chuck Graham,,1965-02-24 00:00:00
Charles Leighton Hardwick,Charles Leighton Hardwick,1941-11-08 00:00:00
Chuck Franco,Charles Anthony Franco,1955 (age 66–67)
Chuck Hall,Charles F. Hall,1918
Charles F. Horn,,
Chuck Hunt,Charles T. Hunt III,1954-03-02 00:00:00
Chuck Hunter,,
Charles T. McIlhinney Jr.,,1967-05-19 00:00:00
Charles W. Larson Jr.,,
Chuck Kopp,,
Chuck Poochigian,Charles S. Poochigian,", "
Charles Quackenbush,Charles Quackenbush,1954-04-20 00:00:00
Chuck Nergard,Charles Lester Nergard,1929-02-06 00:00:00
Charles R. Reed,,1948-08-15 00:00:00
Chuck Robb,Charles Spittal Robb,1939-06-26 00:00:00
Chuck Morse,,1960-10-11 00:00:00
Chuck C. Wichgers,,1965-07-04 00:00:00
Chuck Weaver,,1956-06-22 00:00:00
Chuck Winder,,", U.S."
C. Odumegwu Ojukwu,Chukwuemeka Odumegwu-Ojukwu,1933-11-04 00:00:00
Chuka Umunna,Chuka Harrison Umunna,1978-10-17 00:00:00
Churchill C. Cambreleng,,1786-10-24 00:00:00
Chun Doo-hwan,,
Churchill C. Cambreleng,,1786-10-24 00:00:00
Cicero Price,,1805-12-02 00:00:00
Ciarán Cannon,,1965-09-19 00:00:00
Chung Woo-taik,,1953-02-18 00:00:00
Chuck Schumer,Charles Ellis Schumer,1950-11-23 00:00:00
Chung Mong-joon,,1951-10-17 00:00:00
Cilia Flores,Cilia Adela Flores,1956-10-15 00:00:00
Cindy Acree,,"October 15, 1956 "
Cindi Duchow,,1959-08-21 00:00:00
Cindy Denby,,1955-12-11 00:00:00
Cindy Chavez,,1964-04-07 00:00:00
Cindy Burkett,,1958-09-13 00:00:00
Cindy Byrd,,1973-01-18 00:00:00
Cindy Eckert,,
Cindy Dyer,,
Cindy Friedman,,
Cindy Marten,,
Cindy Rosenwald,,1954-04-23 00:00:00
Ciriaco De Mita,Luigi Ciriaco De Mita,1928-02-02 00:00:00
Clemencia Ignatia Johanna Maria Ross-van Dorp,,1957-08-27 00:00:00
Clair Armstrong Callan,,1920-03-29 00:00:00
Cindy McCain,Cindy Lou Hensley,1954-05-20 00:00:00
Claire Bouchet,,1954-01-09 00:00:00
Claire Pierangelo,,
Clair Engle,,1911-09-21 00:00:00
Claiborne Pell,Claiborne de Borda Pell,1918-11-22 00:00:00
Clair Roddewig,,1903-04-18 00:00:00
Clair Burgener,"Clair Walter Burgener{source, Son, John Clair Burgener",1921-12-05 00:00:00
Claire Cecchi,Claire Claudia Chadirjian,1964-01-18 00:00:00
Claiborne Pell,Claiborne de Borda Pell,1918-11-22 00:00:00
Claire Cronin,Claire McLaughlin,1960-01-29 00:00:00
Claire Fagin,,1926-11-25 00:00:00
Claire Hédon,,1962-10-05 00:00:00
Claire Shulman,Claire Kantoff,1926-02-23 00:00:00
Claire Grady,,
Claire L'Heureux-Dubé,,1927-09-07 00:00:00
Claire Perry,Claire Louise Richens,1964-04-03 00:00:00
Claire V. Eagan,,1950-10-09 00:00:00
Claire R. Kelly,,1965 (age 56–57)
Claire Ward,,1972-05-09 00:00:00
Clancy Holland,Clarence Adrian Holland,1929-06-21 00:00:00
Clancy Brown,Clarence John Brown III,1959-01-05 00:00:00
Clara Bow,Clara Gordon Bow,1905-07-29 00:00:00
The Comtesse de Chambrun,Clara Eleanor Longworth,1873-10-18 00:00:00
Clara Bryant Ford,Clara Jane Bryant,1866-04-11 00:00:00
Clara Gaymard,Clara Lejeune,1960-01-27 00:00:00
Clara Gooding McMillan,,1894-08-17 00:00:00
Clara Bryant Ford,Clara Jane Bryant,1866-04-11 00:00:00
Clara Shortridge Foltz,,"July 16, 1849"
Clara Martínez Alberola,,", "
Clara Gooding McMillan,,1894-08-17 00:00:00
The Comtesse de Chambrun,Clara Eleanor Longworth,1873-10-18 00:00:00
Clara Zetkin,Clara Josephine Eißner,5 July 1857
Clare Berryhill,,1925-12-04 00:00:00
Clare Boothe Luce,Ann Clare Boothe,1903-03-10 00:00:00
Clare Bronfman,,1979 (age 42–43)
Clare Boothe Luce,Ann Clare Boothe,1903-03-10 00:00:00
Clare Hoffman,Clare Eugene Hoffman,1875-09-10 00:00:00
Clare Moody,,1965-10-30 00:00:00
Clare Curran,,1960 (age 61–62)
Clare Connors,Clare Elizabeth Connors,May 1974 (age 47–48)
Clare Haughey,Clare Joan Donnelly,April 1967 (age 55)
Clarence A. Barnes,,"August 28, 1882 "
Clare Short,,1946-02-15 00:00:00
Clare Woolwine,,1888-09-01 00:00:00
Clarence Addison Dykstra,,1883-02-25 00:00:00
Clancy Holland,Clarence Adrian Holland,1929-06-21 00:00:00
Clare O'Neil,,1980-09-12 00:00:00
Clarence Buckman,Clarence Bennett Buckman,1851-04-01 00:00:00
Clarence D. Bell,,"February 4, 1914"
Clarence Cannon,,1879-04-11 00:00:00
Clarence C. Caldwell,,1877-02-07 00:00:00
Clarence Bradford,,", "
The Lord Aberdare,,1885-08-02 00:00:00
C. Clifton Young,,1922-11-07 00:00:00
Clarence Don Clark,,1851-04-16 00:00:00
Clarence D. Martin,Clarence Daniel Martin,1886-06-29 00:00:00
Clarence D. Lane,,1921-03-17 00:00:00
Clarence Cleveland Dill,,1884-09-21 00:00:00
Clarence D. Van Duzer,,1864-05-04 00:00:00
Clarence E. Case,Clarence Edwards Case,1877-09-24 00:00:00
Clarence Eugene Hancock,,1885-02-13 00:00:00
Clarence E. Coyne,,
Clarence E. Gauss,Clarence Edward Gauss,1887-01-12 00:00:00
Clarence F. Manbeck,,"September 21, 1908"
Clarence Frederick Lea,,1874-07-11 00:00:00
Clarence Ayres,,1891-05-06 00:00:00
Clarence G. Burton,,1886-12-14 00:00:00
Clarence H. Pitkin,,1849-08-26 00:00:00
Clarence H. Burns,Clarence Henry Burns,1918-09-13 00:00:00
Clarence Hale,Clarence Hale,1848-04-15 00:00:00
Clarence Emir Allen,,1852-09-08 00:00:00
Clarence J. Brown,Clarence James Brown,1893-07-14 00:00:00
Charence C. Hoffman,,1933-08-07 00:00:00
Clarence J. McLeod,,1895-07-03 00:00:00
Clarence John Boettiger,,1900-03-25 00:00:00
Clarence K. Nishihara,,1942/1943 (age 79)
"Clarence ""Doc"" Long","Clarence Dickinson Long, Jr.",1908-12-11 00:00:00
Clarence F. Manbeck,,"September 21, 1908"
Clarence McClane Pendleton Jr.,,1930-11-10 00:00:00
Clarence M. Kelley,,1911-10-24 00:00:00
Clarence Norman Jr.,,1951-08-25 00:00:00
Clarence Manion,,1896-07-07 00:00:00
Clarence Joseph Morley,,1869-02-09 00:00:00
Clarence Owen Cooper,,17 October 1899
Clarence W. Allgood,Clarence William Allgood,1902-09-12 00:00:00
Clarence Wallace,,1893-06-22 00:00:00
Clarence Wayland Watson,,1864-05-08 00:00:00
Clarence Wyly Turner,,"October 22, 1866"
Clark B. Cochrane,,1815-05-31 00:00:00
Clarence Watson Meadows,,1904-02-11 00:00:00
Clarice Shaw,Clarice Marion McNab,1883-10-22 00:00:00
Claria Horn Boom,Claria Denise Horn,1969 (age 52–53)
Clark Bissell,,1782-09-07 00:00:00
Clark B. Cochrane,,1815-05-31 00:00:00
Clark Burdick,,1868-01-13 00:00:00
Clark Ervin,Clark Kent Ervin,1959-04-01 00:00:00
Clark Clifford,Clark McAdams Clifford,1906-12-25 00:00:00
,,
Clark Irving,,1808-01-01 00:00:00
,,
Clarke C. Fitts,,1870-10-17 00:00:00
Clarke Hogan,,1969-07-21 00:00:00
Clark T. Randt Jr.,,1945-11-24 00:00:00
Clark L. Bradley,,1908-07-18 00:00:00
"Clarke Thomas Reed, Sr.",,1928
Clarence Thomas,,1948-06-23 00:00:00
Clarke Lewis,,1840-11-08 00:00:00
Clarke W. Brown,,
Clarkson Sherman Fisher,Clarkson Sherman Fisher,1921-07-08 00:00:00
Clarkson Crolius,,
Clark Waddoups,Clark Waddoups,1946-04-21 00:00:00
Clarkson Nott Potter,Clarkson Nott Potter,1825-04-25 00:00:00
,,1984-07-17 00:00:00
Clark MacGregor,Clark MacGregor,1922-07-12 00:00:00
Clarrie Millar,,1925-06-15 00:00:00
Claude Évin,,1949-06-29 00:00:00
Claude Hudspeth,Claude Benton Hudspeth,1877-05-12 00:00:00
Claude Albert Fuller,,"January 20, 1876"
Claude Barnard,,1890-10-16 00:00:00
Claude Swanson,Claude Augustus Swanson,1862-03-31 00:00:00
Claude Allègre,,1937-03-31 00:00:00
Claude Bartolone,,1951-07-29 00:00:00
Claude Bertrand,,1917-03-28 00:00:00
Claude Bissell,,1916-02-10 00:00:00
The Earl of Strathmore and Kinghorne,Claude George Lyon-Bowes,1824-07-21 00:00:00
The Earl of Strathmore and Kinghorne,Claude George Bowes-Lyon,1855-03-14 00:00:00
Claude Bowers,Claude Gernade Bowers,1878-11-20 00:00:00
Claude Charles McColloch,Claude Charles McColloch,1888-01-14 00:00:00
Claude Carra Saint-Cyr,Jean-François Claude Carra de Saint-Cyr,1760-07-28 00:00:00
Claude Brinegar,Claude Stout Brinegar,1926-12-16 00:00:00
Claude Cheysson,,1920-04-13 00:00:00
Sir Claude Corea,,29 January 1894
Claude Évin,,1949-06-29 00:00:00
Claude Chirac,,1962-12-06 00:00:00
,,"
4 July 1920"
Claude Fiocca,,1931
Claude Feemster Clayton,Claude Feemster Clayton,1909-08-04 00:00:00
Claude Guéant,,1945-01-17 00:00:00
Claude Estier,Claude Hasday Ezratty,1925-06-08 00:00:00
Claude Goasguen,,1945-03-12 00:00:00
Claude Bowers,Claude Gernade Bowers,1878-11-20 00:00:00
Claude Harris Jr.,,1940-06-29 00:00:00
Claude I. Bakewell,Claude Ignatius Bakewell,"August 9, 1912"
Sir Claude Hill,Claude Hamilton Archer Hill,1866
Claude Kitchin,,1869-03-24 00:00:00
Claude Granville Lancaster,,30 August 1899
Claude Luse,Claude Zeth Luse,1879-02-23 00:00:00
Claude M. Hilton,Claude Meredith Hilton,1940-12-08 00:00:00
Claude Prouvoyeur,,1927-01-05 00:00:00
Claude Pompidou,Claude Jacqueline Cahour,1912-11-13 00:00:00
Claude Pepper,Claude Denson Pepper,1900-09-08 00:00:00
Claude Rodman Porter,,1872-07-08 00:00:00
Claude R. Kirk Jr.,Claude Roy Kirk Jr.,1926-01-07 00:00:00
Claude Wickard,Claude Raymond Wickard,1893-02-28 00:00:00
"Claude Renwick Thomson, Q.C., LL.D.",,1933-09-30 00:00:00
Claude Tircuy de Corcelle,,1 July 1768
Claudette Bradshaw,,1949-04-08 00:00:00
Claude U. Stone,,1879-05-11 00:00:00
Claudia A. McMurray,,
Claudette Woodard,,1945-04-21 00:00:00
Claudia Balducci,,1967-09-24 00:00:00
Claude Weston,,1879-12-28 00:00:00
Claudia Bryar,Hortense Rizley,1918-05-18 00:00:00
Claudia Geiringer,,1968
Claudia Ordaz Perez,Claudia Ordaz,1986-01-13 00:00:00
Claudia Tenney,,1961-02-04 00:00:00
Claudia Webbe,Claudia Naomi Webbe,1965-03-08 00:00:00
Claudie Haigneré,,1957-05-13 00:00:00
Claude Ambrose Taylor,,"August 24, 1902"
Claudio Scajola,,1948-01-15 00:00:00
Claudio Aranzadi,José Claudio Aranzadi Martínez,1946-10-09 00:00:00
Claudio De Vincenti,,1948-10-28 00:00:00
Claus Hjort Frederiksen,,1947-09-04 00:00:00
Claudio Martelli,,1943-09-24 00:00:00
Claudius Huston,Claudius Hart Huston,1876-02-15 00:00:00
Clay Athey,Clifford Lynwood Athey Jr.,1960-09-01 00:00:00
Clawson Roop,James Clawson Roop,1888-10-03 00:00:00
